location_id,table_title,table_title_ko,category,category_ko,budget,mid_range,luxury
1,Albania on a Budget,알바니아의 예산,Accommodation,숙박,14,33,62
1,Albania on a Budget,알바니아의 예산,Local Transportation,지역 교통,6.22,17,48
1,Albania on a Budget,알바니아의 예산,Food,음식,16,38,87
1,Albania on a Budget,알바니아의 예산,Entertainment,엔터테인먼트,3.80,9.67,25
1,Albania on a Budget,알바니아의 예산,Alcohol,주류,2 - 6,5 - 15,14 - 41
2,Andorra on a Budget,안도라의 예산,Accommodation,숙박,35,81,162
2,Andorra on a Budget,안도라의 예산,Local Transportation,지역 교통,20,46,92
2,Andorra on a Budget,안도라의 예산,Food,음식,37,86,171
2,Andorra on a Budget,안도라의 예산,Entertainment,엔터테인먼트,13,30,58
2,Andorra on a Budget,안도라의 예산,Alcohol,주류,2 - 6,4 - 13,9 - 27
3,Anguilla on a Budget,앵귈라의 예산,Accommodation,숙박,93,221,478
3,Anguilla on a Budget,앵귈라의 예산,Local Transportation,지역 교통,11,26,50
3,Anguilla on a Budget,앵귈라의 예산,Food,음식,66,153,303
3,Anguilla on a Budget,앵귈라의 예산,Entertainment,엔터테인먼트,52,122,252
3,Anguilla on a Budget,앵귈라의 예산,Alcohol,주류,6 - 18,14 - 43,32 - 96
4,Antigua and Barbuda on a Budget,안티구아와 바부 다의 예산,Accommodation,숙박,92,225,523
4,Antigua and Barbuda on a Budget,안티구아와 바부 다의 예산,Local Transportation,지역 교통,9.71,23,52
4,Antigua and Barbuda on a Budget,안티구아와 바부 다의 예산,Food,음식,57,137,305
4,Antigua and Barbuda on a Budget,안티구아와 바부 다의 예산,Entertainment,엔터테인먼트,45,109,252
4,Antigua and Barbuda on a Budget,안티구아와 바부 다의 예산,Alcohol,주류,5 - 15,12 - 35,24 - 73
5,Saint John's on a Budget,세인트 존스의 예산,Accommodation,숙박,52,120,235
5,Saint John's on a Budget,세인트 존스의 예산,Local Transportation,지역 교통,7,17,36
5,Saint John's on a Budget,세인트 존스의 예산,Food,음식,49,117,252
5,Saint John's on a Budget,세인트 존스의 예산,Entertainment,엔터테인먼트,38,103,295
5,Saint John's on a Budget,세인트 존스의 예산,Alcohol,주류,4 - 11,9 - 27,19 - 57
6,Argentina on a Budget,아르헨티나의 예산,Accommodation,숙박,21,48,95
6,Argentina on a Budget,아르헨티나의 예산,Local Transportation,지역 교통,1.42,3.28,6.44
6,Argentina on a Budget,아르헨티나의 예산,Food,음식,2.77,6.54,14
6,Argentina on a Budget,아르헨티나의 예산,Entertainment,엔터테인먼트,13,29,60
6,Argentina on a Budget,아르헨티나의 예산,Alcohol,주류,2 - 5,4 - 13,11 - 32
7,"Buenos Aires, Argentina on a Budget","부에노스 아이레스, 아르헨티나의 예산",Accommodation,숙박,19,45,85
7,"Buenos Aires, Argentina on a Budget","부에노스 아이레스, 아르헨티나의 예산",Local Transportation,지역 교통,1,2,4
7,"Buenos Aires, Argentina on a Budget","부에노스 아이레스, 아르헨티나의 예산",Food,음식,4,8,16
7,"Buenos Aires, Argentina on a Budget","부에노스 아이레스, 아르헨티나의 예산",Entertainment,엔터테인먼트,15,34,65
7,"Buenos Aires, Argentina on a Budget","부에노스 아이레스, 아르헨티나의 예산",Alcohol,주류,2 - 7,5 - 15,10 - 29
8,Cafayate on a Budget,카파야테의 예산,Accommodation,숙박,17,38,73
8,Cafayate on a Budget,카파야테의 예산,Local Transportation,지역 교통,2,6,14
8,Cafayate on a Budget,카파야테의 예산,Food,음식,3,7,14
8,Cafayate on a Budget,카파야테의 예산,Entertainment,엔터테인먼트,19,45,85
8,Cafayate on a Budget,카파야테의 예산,Alcohol,주류,5 - 14,10 - 31,20 - 60
9,Cordoba on a Budget,코르도바의 예산,Accommodation,숙박,23,54,113
9,Cordoba on a Budget,코르도바의 예산,Local Transportation,지역 교통,1,3,6
9,Cordoba on a Budget,코르도바의 예산,Food,음식,3,7,15
9,Cordoba on a Budget,코르도바의 예산,Entertainment,엔터테인먼트,8,19,43
