id,item_name,carry_on_allowed,checked_baggage_allowed,notes,item_name_EN,notes_EN,source
1,에어로졸 살충제,아니요,예 (특별 지침),에어로졸 살충제는 기내 반입이 허용되지 않습니다. 그러나 위험 물질(HAZMAT)로 표시되지 않는 한 위탁 수하물에 허용됩니다.,Aerosol Insecticide,Aerosol insecticides are not allowed in carry-on; however they are allowed in checked bags as long as they are not labeled as hazardous material (HAZMAT).,TSA
2,내장 펌프가있는 에어 매트리스,예 (특별 지침),예,내장 펌프가 장착된 에어 매트리스는 기내 반입이 가능합니다. 모든 크기 또는 무게 제한은 항공사에 확인하십시오.,Air Mattress with Built-in Pump,Air mattresses with built-in pump are allowed in carry-on bags. Please check with your airline for any size or weight restrictions.,TSA
3,에어 브러시 메이크업 머신,예 (특별 지침),예 (특별 지침),리튬 금속 또는 리튬 이온 배터리가 들어있는 장치는 기내 수하물로 운반해야 합니다. 배터리가 포함된 대부분의 다른 소비자 장치는 기내 및 위탁 수하물로 모두 허용됩니다.,Airbrush Make-up Machine,Devices containing lithium metal or lithium ion batteries should be carried in carry-on baggage. ?Most other consumer devices containing batteries are allowed in carry-on and checked baggage.,TSA
4,알코올 음료,예 (3.4oz/100 ml 이상 또는 동일),예,알코올 음료를 기내에 가져오기 전에 항공사에 문의하십시오. 규정은 승무원이 제공하지 않는 한 항공기 내에서 알코올을 섭취하는 것을 금지합니다. 또한 승무원은 술에 취한 승객에게 봉사할 수 없습니다.,Alcoholic beverages,"Check with your airline before bringing any alcohol beverages on board. FAA regulations prohibit travelers from consuming alcohol on board an aircraft unless served by a flight attendant. ?Additionally, Flight Attendants are not permitted to serve a passenger who is intoxicated.",TSA
5,도수 70도(140 proof) 초과 주류,아니요,아니요,70% 이상(140 proof 초과)의 알코올 도수를 가진 음료는 허용되지 않습니다.,Alcoholic beverages over 140 proof,"Alcoholic beverages with more than 70% alcohol (over 140 proof), including grain alcohol and 151 proof rum. For more information, see FAA regulation:49 CFR 175.10(a)(4).",TSA
6,탄약,아니요,예 (특별 지침),"위탁 수하물에 탄약 반입이 허용되는지 항공사에 확인하십시오. 소형 무기 탄약은 섬유, 나무 또는 금속 상자, 또는 소량의 탄약을 운반하도록 특별히 설계된 포장에 단단히 포장해야 합니다. 항공사에게 한계 또는 수수료에 대해 문의하십시오. 총기와 함께 여행을 위한 지침을 읽으십시오.",Ammunition,"Check with your airline if ammunition is allowed in checked bags.?Small arms ammunitions must be securely packed in fiber, wood or metal boxes or other packaging specifically designed to carry small amounts of ammunition. Ask the airline about limitations or fees.Read the guidelinesfor traveling with firearms.",TSA
7,사슴 뿔,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Antlers,"You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
8,인공 골격 뼈,예,예,NULL,Artificial Skeleton Bones,NULL,TSA
9,도끼 및 손도끼,아니요,예,NULL,Axes and Hatchets,NULL,TSA
10,베이비 캐리어,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Baby Carrier,"You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
